,gene_ID,count,mean,std,p_val,p_corr
1198,ECB_01427,17.0,3.712822784659999e-07,4.4347822660808127e-07,0.744,1.0
1199,ECB_00261,68.0,3.710957545031122e-07,3.3524037218997017e-07,0.942,1.0
1200,ECB_00722,115.0,3.709229550122712e-07,3.673518890612705e-07,0.98,1.0
1201,ECB_03354,86.0,3.70802092486048e-07,2.989331190681174e-07,0.972,1.0
1202,ECB_00617,42.0,3.706509691408414e-07,3.813279617410893e-07,0.878,1.0
1203,ECB_00123,9.0,3.7040315362283035e-07,4.700992610374011e-07,0.694,1.0
1204,ECB_02085,19.0,3.7020568568593384e-07,2.878029647732304e-07,0.786,1.0
1205,ECB_01947,103.0,3.701691639816689e-07,3.142153332053997e-07,0.964,1.0
1206,ECB_02850,15.0,3.7000737719011843e-07,3.2867658510356984e-07,0.736,1.0
1207,ECB_02840,30.0,3.6999313573245685e-07,3.498313417673846e-07,0.822,1.0
1208,ECB_01378,9.0,3.6993984409674e-07,2.703332476360066e-07,0.714,1.0
1209,ECB_02612,13.0,3.6991374900225856e-07,3.2494109267805516e-07,0.702,1.0
1210,ECB_03123,24.0,3.6989858575001067e-07,2.7958169255546156e-07,0.794,1.0
1211,ECB_02386,13.0,3.6981801232715906e-07,3.1664482529391497e-07,0.714,1.0
1212,ECB_03920,30.0,3.698074564157186e-07,3.179466173306176e-07,0.852,1.0
1213,ECB_02086,6.0,3.696908210447925e-07,4.853812118151055e-07,0.62,1.0
1214,ECB_02654,14.0,3.6964823128123576e-07,3.026850873781729e-07,0.744,1.0
1215,ECB_01663,68.0,3.695284697349031e-07,3.529201550743342e-07,0.942,1.0
1216,ECB_04280,4.0,3.695006778407876e-07,1.9800480662089375e-07,0.582,1.0
1217,ECB_02523,45.0,3.6941599770642624e-07,3.2403320383872646e-07,0.894,1.0
1218,ECB_00159,61.0,3.693052838043419e-07,3.970560077218419e-07,0.906,1.0
1219,ECB_03221,39.0,3.691192855690949e-07,3.298845325646428e-07,0.89,1.0
1220,ECB_03028,4.0,3.688947824580689e-07,3.085988698477948e-07,0.6,1.0
1221,ECB_00267,14.0,3.688831077371487e-07,3.306281507172613e-07,0.76,1.0
1222,ECB_03562,12.0,3.6877596191759726e-07,5.051403401875459e-07,0.712,1.0
1223,ECB_04244,10.0,3.687167192206247e-07,3.945697585424958e-07,0.706,1.0
1224,ECB_02987,33.0,3.6867214374509515e-07,3.400750659954662e-07,0.826,1.0
1225,ECB_02752,43.0,3.682152204897418e-07,2.6990911794447804e-07,0.88,1.0
1226,ECB_00442,50.0,3.67807173158533e-07,4.097749529992643e-07,0.892,1.0
1227,ECB_02561,17.0,3.6760203927934847e-07,3.180253268824692e-07,0.766,1.0
1228,ECB_01474,51.0,3.672997026390957e-07,3.418479146902969e-07,0.91,1.0
1229,ECB_00679,148.0,3.671767082789378e-07,3.572768127123538e-07,0.988,1.0
1230,ECB_03762,14.0,3.670293141364817e-07,3.04431385062712e-07,0.712,1.0
1231,ECB_01850,8.0,3.670269821159001e-07,3.8641451863605833e-07,0.642,1.0
1232,ECB_03568,12.0,3.6699886847647526e-07,3.258844926991046e-07,0.73,1.0
1233,ECB_02574,5.0,3.6697486997160507e-07,3.490728999362218e-07,0.614,1.0
1234,ECB_02275,18.0,3.668010900331422e-07,3.9926873594243873e-07,0.786,1.0
1235,ECB_02559,21.0,3.6660328457712406e-07,2.513125955695175e-07,0.808,1.0
1236,ECB_02763,76.0,3.6655646674981894e-07,3.836860210440658e-07,0.96,1.0
1237,ECB_01594,25.0,3.6636949017376115e-07,3.122943901391609e-07,0.814,1.0
1238,ECB_00431,4.0,3.663678176294584e-07,3.50099227379892e-07,0.604,1.0
1239,ECB_01760,6.0,3.662101819970185e-07,2.5049437700284837e-07,0.632,1.0
1240,ECB_03980,97.0,3.6617825336410704e-07,3.932993187818291e-07,0.976,1.0
1241,ECB_04195,15.0,3.658745362680271e-07,4.214580497945968e-07,0.714,1.0
1242,ECB_03420,6.0,3.658277511379809e-07,1.7463305115721426e-07,0.59,1.0
1243,ECB_02800,24.0,3.6574510583572753e-07,4.0050659417617386e-07,0.834,1.0
1244,ECB_01452,69.0,3.6573693463318925e-07,3.7420130920598945e-07,0.948,1.0
1245,ECB_01035,16.0,3.6562608968602593e-07,3.5286926424168533e-07,0.796,1.0
1246,ECB_01120,22.0,3.65459694546997e-07,2.442355873858186e-07,0.796,1.0
1247,ECB_01873,26.0,3.650169840417551e-07,4.439295620205723e-07,0.83,1.0
1248,ECB_02501,13.0,3.649399743295133e-07,3.7827479305945026e-07,0.738,1.0
1249,ECB_03629,10.0,3.6455571781314126e-07,3.550230645008588e-07,0.72,1.0
1250,ECB_02921,27.0,3.645421995951931e-07,2.3581828577773205e-07,0.832,1.0
1251,ECB_03248,52.0,3.6424769250258413e-07,4.4891128635704855e-07,0.932,1.0
1252,ECB_04110,25.0,3.642468910303363e-07,3.5447831730052085e-07,0.818,1.0
1253,ECB_02562,28.0,3.642360048312837e-07,2.8110519359518865e-07,0.862,1.0
1254,ECB_01083,8.0,3.6413202513344777e-07,3.516935113825773e-07,0.69,1.0
1255,ECB_04279,8.0,3.640747941332283e-07,2.5244826714236117e-07,0.672,1.0
1256,ECB_02551,13.0,3.6405737664317896e-07,3.2748274408604067e-07,0.752,1.0
1257,ECB_03802,9.0,3.6404687296006475e-07,3.726090914015256e-07,0.668,1.0
1258,ECB_00575,10.0,3.638501868228991e-07,1.450609819428213e-07,0.728,1.0
1259,ECB_03891,24.0,3.638034511381334e-07,3.007271557295701e-07,0.822,1.0
1260,ECB_03361,6.0,3.6349624441192946e-07,2.420913848224615e-07,0.614,1.0
