,gene_ID,count,mean,std,p_val,p_corr
157,ECB_02093,7.0,2.4639014357462065e-07,1.516804944997345e-07,0.206,1.0
158,ECB_02960,12.0,2.463462913881751e-07,2.0844117461060933e-07,0.152,1.0
159,ECB_01056,13.0,2.463109618149179e-07,2.564684467120209e-07,0.18,1.0
160,ECB_03888,14.0,2.4579986718300595e-07,3.069163538470772e-07,0.148,1.0
161,ECB_00635,7.0,2.4552818682605913e-07,9.780352255162783e-08,0.182,1.0
162,ECB_03890,7.0,2.452986908771456e-07,1.3373155814125869e-07,0.206,1.0
163,ECB_03177,8.0,2.452047190407107e-07,1.422430464383436e-07,0.22,1.0
164,ECB_03370,6.0,2.447881277727661e-07,1.7623104958247529e-07,0.212,1.0
165,ECB_03336,8.0,2.447364860865448e-07,2.546799657834377e-07,0.18,1.0
166,ECB_03005,31.0,2.447007618314094e-07,2.0708699840233173e-07,0.132,1.0
167,ECB_01163,10.0,2.438124728416873e-07,2.0932495075155985e-07,0.172,1.0
168,ECB_00079,9.0,2.436797292112592e-07,1.746458587076924e-07,0.192,1.0
169,ECB_02580,5.0,2.4339753371123654e-07,3.529663468698078e-07,0.242,1.0
170,ECB_00617,32.0,2.43392226167877e-07,2.457272323145318e-07,0.09,1.0
171,ECB_04275,5.0,2.4321860747049907e-07,9.676854889433534e-08,0.238,1.0
172,ECB_02433,4.0,2.4300526521033033e-07,2.653670325356982e-07,0.24,1.0
173,ECB_04052,20.0,2.42659090794015e-07,1.639958404895466e-07,0.14,1.0
174,ECB_02533,162.0,2.425141230496134e-07,2.177619645272994e-07,0.002,1.0
175,ECB_03347,8.0,2.4240692107814944e-07,2.8762922045607644e-07,0.196,1.0
176,ECB_01350,4.0,2.421721659341432e-07,6.189180372902769e-08,0.274,1.0
177,ECB_02562,12.0,2.4200336462777735e-07,2.482325369421277e-07,0.184,1.0
178,ECB_00900,4.0,2.416821132794591e-07,1.6352802413340397e-07,0.256,1.0
179,ECB_00616,46.0,2.412055391391232e-07,2.2933179689244355e-07,0.054,1.0
180,ECB_02636,4.0,2.4067308770307665e-07,1.3211040940456807e-07,0.236,1.0
181,ECB_01300,4.0,2.402394075946908e-07,1.879505672045831e-07,0.284,1.0
182,ECB_03250,14.0,2.395889273377167e-07,1.6879773407785216e-07,0.206,1.0
183,ECB_00019,12.0,2.3958089734753815e-07,4.0947429155023173e-07,0.202,1.0
184,ECB_03229,5.0,2.38772845079059e-07,1.2678214236584217e-07,0.256,1.0
185,ECB_02516,16.0,2.387316030888744e-07,1.721820678243963e-07,0.176,1.0
